Nome: JUIZ DE FORA
Codigo Estacao: A518
Latitude: -21.769965
Longitude: -43.364329
Altitude: 936.88
Situacao: Operante
Data Inicial: 2007-05-25
Data Final: 2020-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-08-24;0;26.6;18.4125;12;60.25;3.091667;
2007-08-25;0;29.1;21.170833;15;45.541667;3.216667;
2007-08-26;0;30.2;23.175;17.1;36.5;3.616667;
2007-08-27;0;31.2;24.108333;17.9;38.833333;3.483333;
2007-08-28;0;25.7;17.1;14.5;84.458333;3.508333;
2007-08-29;0;22;16.366667;13.9;89.791667;2.579167;
2007-08-30;.6;20.1;16.366667;14.5;92.166667;3.320833;
2007-08-31;.4;20.5;16.7;14.8;88.208333;3.4;
2007-09-01;0;25.6;19.241667;15.2;75.125;3.083333;
2007-09-02;0;27.4;21.533333;16.9;58.916667;3.375;
2007-09-03;0;23;18.666667;15.3;81.625;3.15;
2007-09-04;0;22.3;18.1625;15.8;79.125;5.5;
2007-09-05;0;23.2;17.6;14.7;81.041667;3.6875;
2007-09-06;.8;24.6;18.420833;15.2;78.041667;2.891667;
2007-09-07;0;21.6;17;14;80.833333;2.4125;
2007-09-08;0;23.1;17.154167;12.2;73.375;2.458333;
2007-09-09;0;23;17.0375;12.3;72.125;2.795833;
2007-09-10;0;24.1;17.729167;14;71.083333;3.920833;
2007-09-11;0;23.6;17.0625;13.5;72.416667;4.066667;
2007-09-12;0;24.7;17.8;12.9;63.25;4.104167;
2007-09-13;.4;25;18.445833;14.7;71.458333;3.745833;
2007-09-14;0;24.6;18.454167;13.8;67.166667;3.25;
2007-09-15;0;28.1;21.2125;15.6;46.291667;3.179167;
2007-09-16;0;28.9;22.0125;17.5;46.5;2.783333;
2007-09-17;0;24;17.0375;13.5;78.625;4.995833;
2007-09-18;0;22.7;16.720833;13.9;75.125;3.5375;
2007-09-19;0;25.6;17.475;11.5;72.625;3.0625;
2007-09-20;0;30.5;22.345833;15.7;54.333333;3.775;
2007-09-21;0;29.6;23.020833;17.6;47.541667;3.333333;
2007-09-22;0;29.1;21.6375;15.7;53.333333;2.3875;
2007-09-23;0;30.3;23.008333;16.8;46.375;3.679167;
2007-09-24;0;33.6;22.8875;19.3;51.083333;5.358333;
2007-09-25;0;16.2;13.066667;11.7;84.166667;6;
2007-09-26;0;17.8;13.683333;11;77.041667;3.179167;
2007-09-27;0;22;16.441667;13.2;76.458333;3.658333;
